Ticker;Price;Target Price;P/E;Forward P/E;P/B;PEG;P/FCF;Dividend %;Debt/Eq;Payout;EPS next 5Y;EPS growth next Y;Company;Sector;Industry;Date
APD;303.89;329.84;31.06;23.86;4.78;3.28;-;2.30%;0.66;68.40%;9.46%;10.98%;Air Products and Chemicals, Inc.;Basic Materials;Specialty Chemicals;2023-09-12
ATO;113.69;127.33;19.64;17.58;1.57;2.62;12.70;2.60%;0.63;41.10%;7.50%;6.89%;Atmos Energy Corporation;Utilities;Utilities - Regulated Gas;2023-09-12
BKH;54.81;63.83;14.75;14.20;1.17;2.73;20.82;4.56%;1.44;66.30%;5.40%;3.04%;Black Hills Corporation;Utilities;Utilities - Diversified;2023-09-12
CMI;235.93;262.26;13.22;12.12;3.23;1.14;29.49;2.85%;0.74;35.00%;11.59%;-2.29%;Cummins Inc.;Industrials;Specialty Industrial Machinery;2023-09-12
CSCO;56.40;57.57;18.36;13.32;5.18;2.86;12.10;2.77%;0.19;49.60%;6.41%;4.23%;Cisco Systems, Inc.;Technology;Communication Equipment;2023-09-12
CVX;166.73;186.68;10.58;11.70;1.97;-;11.47;3.62%;0.14;37.00%;-7.68%;5.68%;Chevron Corporation;Energy;Oil & Gas Integrated;2023-09-12
EMN;79.31;94.86;13.53;9.56;1.78;1.82;28.41;3.98%;1.03;65.80%;7.45%;22.70%;Eastman Chemical Company;Basic Materials;Specialty Chemicals;2023-09-12
ES;62.49;79.57;18.54;13.45;1.40;2.77;-;4.32%;1.60;77.80%;6.70%;6.24%;Eversource Energy;Utilities;Utilities - Regulated Electric;2023-09-12
HPQ;29.07;29.77;12.59;8.43;-;-;-;3.61%;-;32.47%;-1.77%;4.42%;HP Inc.;Technology;Computer Hardware;2023-09-12
INGR;101.54;122.00;11.85;10.59;1.99;1.03;53.55;3.07%;0.73;32.00%;11.50%;6.55%;Ingredion Incorporated;Consumer Defensive;Packaged Foods;2023-09-12
JPM;146.70;169.22;9.44;9.98;1.51;-;-;2.73%;1.15;25.70%;-4.33%;-8.37%;JPMorgan Chase & Co.;Financial;Banks - Diversified;2023-09-12
